title,date,url,image_url
"Jones Motor Company, angle II, Broadway, Green Bay, Wisconsin",1992,https://www.loc.gov/pictures/item/2017702193/,https://cdn.loc.gov/service/pnp/mrg/00000/00077v.jpg
"Studebaker Showroom, three-quarter overall view, Route 40, West Atlantic City, New Jersey",1979,https://www.loc.gov/pictures/item/2017702194/,https://cdn.loc.gov/service/pnp/mrg/00000/00078v.jpg
"Studebaker Showroom, Studebaker logo view, Route 40, West Atlantic City, New Jersey",1979,https://www.loc.gov/pictures/item/2017702195/,https://cdn.loc.gov/service/pnp/mrg/00000/00079v.jpg
"Weld County Garage (and gas station), Routes 85 & 34, Greeley, Colorado",1980,https://www.loc.gov/pictures/item/2017702196/,https://cdn.loc.gov/service/pnp/mrg/00000/00080v.jpg
"The Donut Hole, straight-on view, no cars, Amar Road, La Puente, California",1991,https://www.loc.gov/pictures/item/2017702197/,https://cdn.loc.gov/service/pnp/mrg/00000/00081v.jpg
"The Donut Hole, angle view, Amar Road, La Puente, California",1991,https://www.loc.gov/pictures/item/2017702198/,https://cdn.loc.gov/service/pnp/mrg/00000/00082v.jpg
"Bob's Java Jive, Route 99, Tacoma, Washington",1979,https://www.loc.gov/pictures/item/2017702199/,https://cdn.loc.gov/service/pnp/mrg/00000/00083v.jpg
"Hoot Owl Cafe, horizontal view, 8711 Long Beach Boulevard, Southgate, Los Angeles, California",1977,https://www.loc.gov/pictures/item/2017702200/,https://cdn.loc.gov/service/pnp/mrg/00000/00084v.jpg
"Hoot Owl Cafe, side view, 8711 Long Beach Boulevard, Southgate, Los Angeles, California",1977,https://www.loc.gov/pictures/item/2017702201/,https://cdn.loc.gov/service/pnp/mrg/00000/00085v.jpg
"Big Fish Supper Club, horizontal view 1, Route 2, Bena, Minnesota",1980,https://www.loc.gov/pictures/item/2017702202/,https://cdn.loc.gov/service/pnp/mrg/00000/00086v.jpg
"Fish Inn, side view, Old Route 10, Coeur d'Alene, Idaho",1987,https://www.loc.gov/pictures/item/2017702203/,https://cdn.loc.gov/service/pnp/mrg/00000/00087v.jpg
"Fish Inn, diagonal view from mouth, Old Route 10, Coeur d'Alene, Idaho",1987,https://www.loc.gov/pictures/item/2017702204/,https://cdn.loc.gov/service/pnp/mrg/00000/00088v.jpg
"Orange Julep, Route 9, Plattsburgh, New York",1978,https://www.loc.gov/pictures/item/2017702205/,https://cdn.loc.gov/service/pnp/mrg/00000/00089v.jpg
"Leaning Tower of Pizza, Quincy, Massachusetts",1984,https://www.loc.gov/pictures/item/2017702206/,https://cdn.loc.gov/service/pnp/mrg/00000/00090v.jpg
"Tower of Pizza, vertical view, Route 22, Green Brook, New Jersey",1978,https://www.loc.gov/pictures/item/2017702207/,https://cdn.loc.gov/service/pnp/mrg/00000/00091v.jpg
"Mammy's Cupboard, angle view, Route 61, Natchez, Mississippi",1979,https://www.loc.gov/pictures/item/2017702208/,https://cdn.loc.gov/service/pnp/mrg/00000/00092v.jpg
"Mammy's Cupboard, side view, Route 61, Natchez, Mississippi",1979,https://www.loc.gov/pictures/item/2017702209/,https://cdn.loc.gov/service/pnp/mrg/00000/00093v.jpg
"Coney Island Dairyland, Route 285, Aspen Park, Colorado",1980,https://www.loc.gov/pictures/item/2017702210/,https://cdn.loc.gov/service/pnp/mrg/00000/00094v.jpg
"Coney Island Dairyland, end detail, Route 285, Aspen Park, Colorado",1980,https://www.loc.gov/pictures/item/2017702211/,https://cdn.loc.gov/service/pnp/mrg/00000/00095v.jpg
"The Milk Can, vertical view, Route 146, Lincoln, Rhode Island",1978,https://www.loc.gov/pictures/item/2017702212/,https://cdn.loc.gov/service/pnp/mrg/00000/00096v.jpg
"The Mad Greek (formerly Sam's Roast Beef), 6th Street, Corona, California",1977,https://www.loc.gov/pictures/item/2017702213/,https://cdn.loc.gov/service/pnp/mrg/00000/00097v.jpg
"The Barrel, 6th Avenue, Devils Lake, North Dakota",1980,https://www.loc.gov/pictures/item/2017702214/,https://cdn.loc.gov/service/pnp/mrg/00000/00098v.jpg
"Mickey's Diner (1937-39), 36 W. 9th Street, St. Paul, Minnesota",1984,https://www.loc.gov/pictures/item/2017702215/,https://cdn.loc.gov/service/pnp/mrg/00000/00099v.jpg
"Diner (American and Korean food), Route 27, Columbus, Georgia",1982,https://www.loc.gov/pictures/item/2017702216/,https://cdn.loc.gov/service/pnp/mrg/00100/00100v.jpg
"Miss Bellows Falls Diner, side view, Bellows Falls, Vermont",1978,https://www.loc.gov/pictures/item/2017702217/,https://cdn.loc.gov/service/pnp/mrg/00100/00102v.jpg
"Stork Cafe, 3rd Street, Route 66, Winslow, Arizona",1979,https://www.loc.gov/pictures/item/2017702218/,https://cdn.loc.gov/service/pnp/mrg/00100/00103v.jpg
"Highway Diner, Route 66, Winslow, Arizona",2003,https://www.loc.gov/pictures/item/2017702219/,https://cdn.loc.gov/service/pnp/mrg/00100/00104v.jpg
"Diner, Pleasant Street, Fall River, Massachusetts",1984,https://www.loc.gov/pictures/item/2017702220/,https://cdn.loc.gov/service/pnp/mrg/00100/00105v.jpg
"Wellsboro Diner, by dusk, Route 6, Wellsboro, Pennsylvania",1977,https://www.loc.gov/pictures/item/2017702221/,https://cdn.loc.gov/service/pnp/mrg/00100/00106v.jpg
"Wellsboro Diner at day with neon, Route 6, Wellsboro, Pennsylvania",1980,https://www.loc.gov/pictures/item/2017702222/,https://cdn.loc.gov/service/pnp/mrg/00100/00107v.jpg
"Scotty's Diner (1942), side view, Route 30, Wilkinsburg, Pennsylvania",1989,https://www.loc.gov/pictures/item/2017702223/,https://cdn.loc.gov/service/pnp/mrg/00100/00108v.jpg
"Modern Diner, diagonal front detail, Dexter Avenue, Pawtucket, Rhode Island",1978,https://www.loc.gov/pictures/item/2017702224/,https://cdn.loc.gov/service/pnp/mrg/00100/00109v.jpg
"The Lunch Box, Cimarron Avenue, Colorado Springs, Colorado",1980,https://www.loc.gov/pictures/item/2017702225/,https://cdn.loc.gov/service/pnp/mrg/00100/00110v.jpg
"Royal Diner, side view, Route 28, north of Kingston, New York",1976,https://www.loc.gov/pictures/item/2017702226/,https://cdn.loc.gov/service/pnp/mrg/00100/00111v.jpg
"Central Diner, Bank Street, Poughkeepsie, New York",1976,https://www.loc.gov/pictures/item/2017702227/,https://cdn.loc.gov/service/pnp/mrg/00100/00112v.jpg
"Elm Diner, Route 32, Kingston, New York",1976,https://www.loc.gov/pictures/item/2017702228/,https://cdn.loc.gov/service/pnp/mrg/00100/00113v.jpg
"K & J Dairy, 11600 Livernois, Detroit, Michigan",1986,https://www.loc.gov/pictures/item/2017702229/,https://cdn.loc.gov/service/pnp/mrg/00100/00114v.jpg
"Gary's ice cream, N. Main Street, Jacksonville, Florida",1979,https://www.loc.gov/pictures/item/2017702230/,https://cdn.loc.gov/service/pnp/mrg/00100/00115v.jpg
"Walt's Dairy Bar, Route 10, Saint Regis, Montana",1987,https://www.loc.gov/pictures/item/2017702231/,https://cdn.loc.gov/service/pnp/mrg/00100/00116v.jpg
"Daisy Queen ice cream, N. Main Street, Greenville, South Carolina",1979,https://www.loc.gov/pictures/item/2017702232/,https://cdn.loc.gov/service/pnp/mrg/00100/00117v.jpg
